非车辆原因故障
,车辆编组违反编组规定
,车辆搭载异物
,非车辆原因其他故障
故障
,车体
,,地板
,,,地板其他故障
,,,防火板脱落
,,,钢地板破损
,,,木地板破损
,,,浴盆破损
,,端墙
,,,端墙板破损
,,,端墙其他故障
,,,端墙外墙板破损
,,,端柱裂损
,,,端柱破损
,,,上端梁破损
,,侧墙
,,,侧墙板破损
,,,侧墙其他故障
,,,侧墙外墙板破损
,,,侧柱裂损
,,,角柱裂损
,,车门
,,,车门插销丢失
,,,车门插销弯曲
,,,车门插销折断
,,,车门丢失
,,,车门开放
,,,车门门板破损
,,,车门其他故障
,,,车门锁杆变形
,,,车门锁杆丢失
,,,车门锁杆破损
,,,车门锁手柄变形
,,,车门锁手柄丢失
,,,车门锁手柄破损
,,,车门锁手柄折损
,,,车门锁铁挡变形
,,,车门锁铁挡丢失
,,,车门锁铁挡破损
,,,车门锁销丢失
,,,车门锁座变形
,,,车门锁座丢失
,,,车门锁座破损
,,,车门脱落
,,,车门折页圆销丢失
,,,车门折页折断
,,,车门折页折损
,,,车门折页座折断
,,,车门折页座折损
,,,门锁搭扣丢失
,,,门锁钩丢失
,,,门锁钩环丢失
,,,门锁钩座丢失
,,,押运间车门丢失
,,,押运间车门破损
,,,中侧门上门锁开关柄丢失
,,,中侧门上门锁开关柄弯曲
,,,中侧门上门锁开关柄止挡丢失
,,,中侧门上门锁开关柄止挡弯曲
,,,中侧门上锁开闭杆变形
,,,中侧门上锁开闭杆丢失
,,,中侧门上锁开闭杆固定座变形
,,,中侧门上锁开闭杆固定座丢失
,,,中侧门上锁开闭杆折损
,,,中侧门上锁锁铁变形
,,,中侧门上锁锁铁丢失
,,,中侧门上锁销丢失
,,,中侧门上锁销座丢失
,,,中侧门锁盒变形
,,,中侧门锁铁座变形
,,,中侧门锁铁座丢失
,,,中侧门下锁开闭杆固定座变形
,,,中侧门下锁开闭杆固定座丢失
,,,中侧门下锁锁铁变形
,,,中侧门下锁锁铁丢失
,,下侧门
,,,侧门挡铁丢失
,,,侧门支座丢失
,,,下侧门搭扣丢失
,,,下侧门搭扣座丢失
,,,下侧门搭扣座折损
,,,下侧门丢失
,,,下侧门开放
,,,下侧门门板破损
,,,下侧门门折页丢失
,,,下侧门门折页折断
,,,下侧门门折页折损
,,,下侧门其他故障
,,,下侧门脱落
,,,下侧门折页圆销丢失
,,,下侧门折页座丢失
,,,下侧门折页座折断
,,,下侧门折页座折损
,,N车端门
,,,端门丢失
,,,端门开放
,,,端门门板破损
,,,端门其他故障
,,,端门脱落
,,,端门折页丢失
,,,端门折页座丢失
,,,端门支座丢失
,,,端门轴圆销丢失
,,车窗
,,,车窗丢失
,,,车窗其他故障
,,,外车窗板丢失
,,鞍座组成
,,,鞍座组成其他故障
,,,卡带圆销丢失
,,,卡带折断
,,加温装置
,,,加温装置其它故障
,,排油装置
,,,排油装置其它故障
,,底开门设备
,,,侧漏斗板破损
,,,导流板破损
,,,底开门其他故障
,,,流砟板破损
,,,中漏斗板破损
,,排水装置
,,,排水装置其它故障
,,车体附件
,,,车体附件其他故障
,,,端走板护栏丢失
,,,端走板护栏破损
,,,扶手破损
,,,扶梯丢失
,,,扶梯破损
,,,钩提杆座丢失
,,,钩提杆座脱落
,,,脚蹬变形
,,,脚蹬丢失
,,,脚蹬破损
,,,绳栓丢失
,,,绳栓破损
,,,柱插丢失
,,,柱插脱落
,底架
,,中梁
,,,中梁裂损
,,,中梁其他故障
,,侧梁
,,,侧梁裂损
,,,侧梁其他故障
,,端梁
,,,端梁裂损
,,,端梁其他故障
,,,端梁弯曲
,,枕梁
,,,枕梁其他故障
,,,枕梁下盖板裂损
,,横梁
,,,横梁其他故障
,,,小横梁裂损
,,,小横梁折断
,,,纵向梁折断
,,从板座
,,,从板座其他故障
,,,后从板座丢失
,,,后从板座破损
,,,后从板座折断
,,,前从板座丢失
,,,前从板座破损
,,,前从板座折断
,,牵引梁
,,,辅助梁折断
,,,牵引梁破损
,,,牵引梁其他故障
,,,牵引梁弯曲
,,底架附件
,,,底架附件其他故障
,,,货车车号自动识别标签丢失
,,,货车车号自动识别标签破损
,,,上拉杆吊架丢失
,,,上拉杆吊架脱落
,,,闸调器吊架丢失
,,,闸调器吊架脱落
,转向架
,,摇枕本体
,,,摇枕裂损
,,,摇枕其他故障
,,摇枕附件
